행정구역,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,2021년12월_남_총인구수,2021년12월_남_연령구간인구수,2021년12월_남_0~9세,2021년12월_남_10~19세,2021년12월_남_20~29세,2021년12월_남_30~39세,2021년12월_남_40~49세,2021년12월_남_50~59세,2021년12월_남_60~69세,2021년12월_남_70~79세,2021년12월_남_80~89세,2021년12월_남_90~99세,2021년12월_남_100세 이상,2021년12월_여_총인구수,2021년12월_여_연령구간인구수,2021년12월_여_0~9세,2021년12월_여_10~19세,2021년12월_여_20~29세,2021년12월_여_30~39세,2021년12월_여_40~49세,2021년12월_여_50~59세,2021년12월_여_60~69세,2021년12월_여_70~79세,2021년12월_여_80~89세,2021년12월_여_90~99세,2021년12월_여_100세 이상
인천광역시 중구 (2811000000),143633 ,143633 ,11661 ,13147 ,18940 ,21991 ,25234 ,21230 ,17316 ,9371 ,4047 ,672 ,24 ,74679 ,74679 ,6036 ,6750 ,9750 ,11967 ,13752 ,11757 ,8713 ,4315 ,1477 ,154 ,8 ,68954 ,68954 ,5625 ,6397 ,9190 ,10024 ,11482 ,9473 ,8603 ,5056 ,2570 ,518 ,16 
인천광역시 중구영종출장소 (2811400000),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
인천광역시 중구용유출장소 (2811800000),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
인천광역시 동구 (2814000000),61486 ,61486 ,3473 ,4905 ,6381 ,6750 ,9698 ,9953 ,10397 ,6487 ,2980 ,450 ,12 ,30998 ,30998 ,1815 ,2538 ,3459 ,3619 ,5214 ,5308 ,5030 ,2869 ,1035 ,108 ,3 ,30488 ,30488 ,1658 ,2367 ,2922 ,3131 ,4484 ,4645 ,5367 ,3618 ,1945 ,342 ,9 
인천광역시 미추홀구 (2817700000),407464 ,407464 ,26104 ,31520 ,56905 ,55834 ,63525 ,67377 ,59014 ,31167 ,13915 ,2042 ,61 ,205283 ,205283 ,13331 ,16291 ,29929 ,30089 ,33688 ,34022 ,28194 ,14161 ,5106 ,458 ,14 ,202181 ,202181 ,12773 ,15229 ,26976 ,25745 ,29837 ,33355 ,30820 ,17006 ,8809 ,1584 ,47 
인천광역시 연수구 (2818500000),389644 ,389644 ,37087 ,43121 ,50625 ,56494 ,69025 ,65224 ,43076 ,15856 ,7694 ,1393 ,49 ,193417 ,193417 ,18925 ,22084 ,26341 ,27787 ,33867 ,32151 ,22017 ,7356 ,2597 ,283 ,9 ,196227 ,196227 ,18162 ,21037 ,24284 ,28707 ,35158 ,33073 ,21059 ,8500 ,5097 ,1110 ,40 
인천광역시 남동구 (2820000000),518272 ,518272 ,38030 ,48654 ,68723 ,69084 ,86799 ,89137 ,70806 ,31394 ,13473 ,2100 ,72 ,257468 ,257468 ,19613 ,24923 ,35526 ,35645 ,44284 ,43945 ,34212 ,14265 ,4647 ,399 ,9 ,260804 ,260804 ,18417 ,23731 ,33197 ,33439 ,42515 ,45192 ,36594 ,17129 ,8826 ,1701 ,63 
인천광역시 부평구 (2823700000),486765 ,486765 ,30404 ,41454 ,67235 ,66031 ,74842 ,87957 ,70399 ,31540 ,14661 ,2171 ,71 ,240348 ,240348 ,15515 ,21521 ,34420 ,34130 ,37815 ,42854 ,34261 ,14337 ,5025 ,458 ,12 ,246417 ,246417 ,14889 ,19933 ,32815 ,31901 ,37027 ,45103 ,36138 ,17203 ,9636 ,1713 ,59 
인천광역시 계양구 (2824500000),295696 ,295696 ,17269 ,25481 ,42409 ,38076 ,44577 ,59417 ,43573 ,15806 ,7840 ,1221 ,27 ,147316 ,147316 ,8785 ,13029 ,22286 ,19935 ,22298 ,28800 ,22170 ,7198 ,2547 ,262 ,6 ,148380 ,148380 ,8484 ,12452 ,20123 ,18141 ,22279 ,30617 ,21403 ,8608 ,5293 ,959 ,21 
인천광역시 서구 (2826000000),555380 ,555380 ,49272 ,57186 ,72140 ,80789 ,97411 ,95472 ,64760 ,25323 ,11136 ,1821 ,70 ,280398 ,280398 ,25406 ,29309 ,37300 ,41250 ,50035 ,48218 ,32976 ,11814 ,3725 ,349 ,16 ,274982 ,274982 ,23866 ,27877 ,34840 ,39539 ,47376 ,47254 ,31784 ,13509 ,7411 ,1472 ,54 
인천광역시 서구검단출장소 (2826500000),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
인천광역시 강화군 (2871000000),69693 ,69693 ,3204 ,4566 ,5129 ,5201 ,7661 ,11745 ,15383 ,9939 ,5950 ,898 ,17 ,34868 ,34868 ,1680 ,2342 ,2948 ,2699 ,4132 ,6057 ,7693 ,4733 ,2362 ,218 ,4 ,34825 ,34825 ,1524 ,2224 ,2181 ,2502 ,3529 ,5688 ,7690 ,5206 ,3588 ,680 ,13 
인천광역시 옹진군 (2872000000),20342 ,20342 ,880 ,1097 ,2564 ,1841 ,2294 ,3457 ,4404 ,2361 ,1157 ,273 ,14 ,11598 ,11598 ,448 ,603 ,1875 ,1158 ,1437 ,2018 ,2391 ,1163 ,442 ,60 ,3 ,8744 ,8744 ,432 ,494 ,689 ,683 ,857 ,1439 ,2013 ,1198 ,715 ,213 ,11 
광주광역시  (2900000000),1441611 ,1441611 ,114065 ,152404 ,206472 ,181189 ,236167 ,235764 ,172124 ,94547 ,42636 ,6066 ,177 ,713015 ,713015 ,58516 ,78857 ,107781 ,92783 ,117383 ,116983 ,82025 ,42016 ,15333 ,1316 ,22 ,728596 ,728596 ,55549 ,73547 ,98691 ,88406 ,118784 ,118781 ,90099 ,52531 ,27303 ,4750 ,155 
광주광역시 동구 (2911000000),103470 ,103470 ,7294 ,7263 ,14859 ,13419 ,14115 ,15475 ,15134 ,10228 ,4976 ,688 ,19 ,51046 ,51046 ,3775 ,3709 ,7640 ,6925 ,7394 ,7666 ,7112 ,4550 ,2074 ,197 ,4 ,52424 ,52424 ,3519 ,3554 ,7219 ,6494 ,6721 ,7809 ,8022 ,5678 ,2902 ,491 ,15 
광주광역시 서구 (2914000000),291231 ,291231 ,20175 ,29862 ,44576 ,35000 ,46978 ,49483 ,35833 ,19467 ,8610 ,1208 ,39 ,142721 ,142721 ,10423 ,15742 ,22837 ,17822 ,22778 ,24204 ,16843 ,8644 ,3151 ,275 ,2 ,148510 ,148510 ,9752 ,14120 ,21739 ,17178 ,24200 ,25279 ,18990 ,10823 ,5459 ,933 ,37 
광주광역시 남구 (2915500000),215575 ,215575 ,17062 ,22739 ,27524 ,25221 ,34277 ,32988 ,29154 ,17585 ,7860 ,1137 ,28 ,103542 ,103542 ,8699 ,11345 ,14094 ,12515 ,16861 ,15697 ,13319 ,7827 ,2935 ,244 ,6 ,112033 ,112033 ,8363 ,11394 ,13430 ,12706 ,17416 ,17291 ,15835 ,9758 ,4925 ,893 ,22 
광주광역시 북구 (2917000000),427114 ,427114 ,31994 ,41359 ,61142 ,54563 ,65746 ,71348 ,56057 ,30050 ,12971 ,1827 ,57 ,211999 ,211999 ,16375 ,21770 ,32157 ,28456 ,33096 ,34959 ,26636 ,13488 ,4671 ,385 ,6 ,215115 ,215115 ,15619 ,19589 ,28985 ,26107 ,32650 ,36389 ,29421 ,16562 ,8300 ,1442 ,51 
광주광역시 광산구 (2920000000),404221 ,404221 ,37540 ,51181 ,58371 ,52986 ,75051 ,66470 ,35946 ,17217 ,8219 ,1206 ,34 ,203707 ,203707 ,19244 ,26291 ,31053 ,27065 ,37254 ,34457 ,18115 ,7507 ,2502 ,215 ,4 ,200514 ,200514 ,18296 ,24890 ,27318 ,25921 ,37797 ,32013 ,17831 ,9710 ,5717 ,991 ,30 
대전광역시  (3000000000),1452251 ,1452251 ,107548 ,142175 ,209397 ,189669 ,231018 ,240017 ,190514 ,92390 ,43199 ,6155 ,169 ,724626 ,724626 ,55295 ,73527 ,109664 ,99378 ,115072 ,119967 ,92406 ,42139 ,15747 ,1405 ,26 ,727625 ,727625 ,52253 ,68648 ,99733 ,90291 ,115946 ,120050 ,98108 ,50251 ,27452 ,4750 ,143 
대전광역시 동구 (3011000000),222222 ,222222 ,14156 ,19474 ,30090 ,25243 ,33446 ,36280 ,34291 ,19154 ,8880 ,1174 ,34 ,111953 ,111953 ,7348 ,10087 ,15862 ,13646 ,17511 ,18762 ,16588 ,8640 ,3215 ,288 ,6 ,110269 ,110269 ,6808 ,9387 ,14228 ,11597 ,15935 ,17518 ,17703 ,10514 ,5665 ,886 ,28 
대전광역시 중구 (3014000000),230341 ,230341 ,13883 ,20948 ,30051 ,24970 ,35204 ,38869 ,34798 ,20521 ,9735 ,1326 ,36 ,113507 ,113507 ,7099 ,10816 ,15297 ,12898 ,17799 ,19703 ,16646 ,9189 ,3740 ,312 ,8 ,116834 ,116834 ,6784 ,10132 ,14754 ,12072 ,17405 ,19166 ,18152 ,11332 ,5995 ,1014 ,28 
대전광역시 서구 (3017000000),473365 ,473365 ,35861 ,48149 ,72847 ,64713 ,76261 ,76797 ,58390 ,26485 ,12047 ,1766 ,49 ,232714 ,232714 ,18470 ,24805 ,37149 ,33146 ,36910 ,37251 ,27998 ,12130 ,4451 ,397 ,7 ,240651 ,240651 ,17391 ,23344 ,35698 ,31567 ,39351 ,39546 ,30392 ,14355 ,7596 ,1369 ,42 
대전광역시 유성구 (3020000000),351277 ,351277 ,33129 ,37818 ,52312 ,54802 ,59950 ,54745 ,36673 ,13867 ,6816 ,1141 ,24 ,177463 ,177463 ,17061 ,19578 ,28055 ,28748 ,29452 ,27333 ,18166 ,6509 ,2308 ,250 ,3 ,173814 ,173814 ,16068 ,18240 ,24257 ,26054 ,30498 ,27412 ,18507 ,7358 ,4508 ,891 ,21 
대전광역시 대덕구 (3023000000),175046 ,175046 ,10519 ,15786 ,24097 ,19941 ,26157 ,33326 ,26362 ,12363 ,5721 ,748 ,26 ,88989 ,88989 ,5317 ,8241 ,13301 ,10940 ,13400 ,16918 ,13008 ,5671 ,2033 ,158 ,2 ,86057 ,86057 ,5202 ,7545 ,10796 ,9001 ,12757 ,16408 ,13354 ,6692 ,3688 ,590 ,24 
울산광역시  (3100000000),1121592 ,1121592 ,92018 ,109990 ,137422 ,144891 ,183954 ,207056 ,155775 ,63024 ,24119 ,3276 ,67 ,576217 ,576217 ,47302 ,57743 ,77588 ,77145 ,94084 ,105062 ,78393 ,30110 ,8218 ,568 ,4 ,545375 ,545375 ,44716 ,52247 ,59834 ,67746 ,89870 ,101994 ,77382 ,32914 ,15901 ,2708 ,63 
울산광역시 중구 (3111000000),212883 ,212883 ,15265 ,19455 ,25187 ,25105 ,33097 ,40252 ,33526 ,14861 ,5467 ,657 ,11 ,107736 ,107736 ,7858 ,10332 ,14133 ,13186 ,16910 ,20049 ,16319 ,6885 ,1950 ,113 ,1 ,105147 ,105147 ,7407 ,9123 ,11054 ,11919 ,16187 ,20203 ,17207 ,7976 ,3517 ,544 ,10 
울산광역시 남구 (3114000000),313819 ,313819 ,22540 ,29145 ,43368 ,40846 ,49604 ,60666 ,43790 ,17133 ,5993 ,721 ,13 ,160055 ,160055 ,11593 ,15408 ,24203 ,21901 ,24419 ,30324 ,21792 ,8144 ,2141 ,130 ,0 ,153764 ,153764 ,10947 ,13737 ,19165 ,18945 ,25185 ,30342 ,21998 ,8989 ,3852 ,591 ,13 
울산광역시 동구 (3117000000),154096 ,154096 ,13711 ,15654 ,16724 ,21336 ,26172 ,24775 ,23831 ,8881 ,2645 ,359 ,8 ,80417 ,80417 ,6981 ,8295 ,9374 ,11721 ,14262 ,12480 ,11802 ,4539 ,908 ,54 ,1 ,73679 ,73679 ,6730 ,7359 ,7350 ,9615 ,11910 ,12295 ,12029 ,4342 ,1737 ,305 ,7 
울산광역시 북구 (3120000000),218735 ,218735 ,24039 ,23783 ,26213 ,32810 ,39009 ,38898 ,22365 ,7904 ,3224 ,473 ,17 ,113265 ,113265 ,12400 ,12289 ,15040 ,17110 ,20001 ,19842 ,11777 ,3726 ,1006 ,73 ,1 ,105470 ,105470 ,11639 ,11494 ,11173 ,15700 ,19008 ,19056 ,10588 ,4178 ,2218 ,400 ,16 
울산광역시 울주군 (3171000000),222059 ,222059 ,16463 ,21953 ,25930 ,24794 ,36072 ,42465 ,32263 ,14245 ,6790 ,1066 ,18 ,114744 ,114744 ,8470 ,11419 ,14838 ,13227 ,18492 ,22367 ,16703 ,6816 ,2213 ,198 ,1 ,107315 ,107315 ,7993 ,10534 ,11092 ,11567 ,17580 ,20098 ,15560 ,7429 ,4577 ,868 ,17 
세종특별자치시  (3600000000),371895 ,371895 ,47063 ,45794 ,38510 ,61719 ,72764 ,48876 ,33522 ,14775 ,7557 ,1288 ,27 ,185678 ,185678 ,23984 ,23081 ,19728 ,30131 ,36831 ,25581 ,16596 ,6870 ,2606 ,263 ,7 ,186217 ,186217 ,23079 ,22713 ,18782 ,31588 ,35933 ,23295 ,16926 ,7905 ,4951 ,1025 ,20 
세종특별자치시  (3611000000),371895 ,371895 ,47063 ,45794 ,38510 ,61719 ,72764 ,48876 ,33522 ,14775 ,7557 ,1288 ,27 ,185678 ,185678 ,23984 ,23081 ,19728 ,30131 ,36831 ,25581 ,16596 ,6870 ,2606 ,263 ,7 ,186217 ,186217 ,23079 ,22713 ,18782 ,31588 ,35933 ,23295 ,16926 ,7905 ,4951 ,1025 ,20 
경기도  (4100000000),13565450 ,13565450 ,1099927 ,1321005 ,1798269 ,1900447 ,2296173 ,2274844 ,1669601 ,773573 ,374488 ,55363 ,1760 ,6827298 ,6827298 ,562739 ,678063 ,947823 ,983619 ,1168232 ,1152627 ,830282 ,352810 ,137676 ,13079 ,348 ,6738152 ,6738152 ,537188 ,642942 ,850446 ,916828 ,1127941 ,1122217 ,839319 ,420763 ,236812 ,42284 ,1412 
북부출장소  (4110500000),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
경기도 수원시 (4111000000),1183714 ,1183714 ,91037 ,115369 ,184258 ,177205 ,199224 ,197487 ,131329 ,56826 ,26801 ,4036 ,142 ,595933 ,595933 ,46850 ,59563 ,96683 ,93017 ,100275 ,98577 ,64979 ,25550 ,9506 ,911 ,22 ,587781 ,587781 ,44187 ,55806 ,87575 ,84188 ,98949 ,98910 ,66350 ,31276 ,17295 ,3125 ,120 
경기도 수원시 장안구 (4111100000),273835 ,273835 ,17502 ,27765 ,43509 ,33068 ,44157 ,49282 ,33446 ,15772 ,7996 ,1301 ,37 ,137861 ,137861 ,8954 ,14413 ,23785 ,17445 ,21867 ,24630 ,16541 ,6972 ,2935 ,312 ,7 ,135974 ,135974 ,8548 ,13352 ,19724 ,15623 ,22290 ,24652 ,16905 ,8800 ,5061 ,989 ,30 
경기도 수원시 권선구 (4111300000),364136 ,364136 ,29791 ,32524 ,52863 ,56472 ,60467 ,61603 ,43524 ,17636 ,8036 ,1172 ,48 ,183925 ,183925 ,15330 ,16847 ,27618 ,29819 ,31255 ,30395 ,21500 ,8120 ,2771 ,263 ,7 ,180211 ,180211 ,14461 ,15677 ,25245 ,26653 ,29212 ,31208 ,22024 ,9516 ,5265 ,909 ,41 
경기도 수원시 팔달구 (4111500000),182321 ,182321 ,10055 ,13684 ,30306 ,27063 ,27452 ,31125 ,24522 ,11977 ,5407 ,703 ,27 ,91926 ,91926 ,5102 ,7020 ,15512 ,14785 ,14220 ,15810 ,11986 ,5355 ,1959 ,173 ,4 ,90395 ,90395 ,4953 ,6664 ,14794 ,12278 ,13232 ,15315 ,12536 ,6622 ,3448 ,530 ,23 
경기도 수원시 영통구 (4111700000),363422 ,363422 ,33689 ,41396 ,57580 ,60602 ,67148 ,55477 ,29837 ,11441 ,5362 ,860 ,30 ,182221 ,182221 ,17464 ,21283 ,29768 ,30968 ,32933 ,27742 ,14952 ,5103 ,1841 ,163 ,4 ,181201 ,181201 ,16225 ,20113 ,27812 ,29634 ,34215 ,27735 ,14885 ,6338 ,3521 ,697 ,26 
경기도 성남시 (4113000000),930948 ,930948 ,65673 ,85554 ,127520 ,135164 ,153076 ,155353 ,120379 ,57626 ,26243 ,4228 ,132 ,461131 ,461131 ,33541 ,43856 ,65418 ,69035 ,75334 ,77810 ,58860 ,26212 ,9970 ,1065 ,30 ,469817 ,469817 ,32132 ,41698 ,62102 ,66129 ,77742 ,77543 ,61519 ,31414 ,16273 ,3163 ,102 
경기도 성남시 수정구 (4113100000),235988 ,235988 ,14911 ,16814 ,33642 ,34981 ,36276 ,40067 ,34874 ,16864 ,6655 ,870 ,34 ,119517 ,119517 ,7547 ,8619 ,17690 ,18737 ,19143 ,20519 ,16984 ,7631 ,2434 ,205 ,8 ,116471 ,116471 ,7364 ,8195 ,15952 ,16244 ,17133 ,19548 ,17890 ,9233 ,4221 ,665 ,26 
경기도 성남시 중원구 (4113300000),210777 ,210777 ,12166 ,15618 ,29885 ,30636 ,31570 ,36767 ,32076 ,15156 ,6024 ,852 ,27 ,106772 ,106772 ,6214 ,8070 ,15493 ,16600 ,16557 ,18690 ,15829 ,6956 ,2202 ,157 ,4 ,104005 ,104005 ,5952 ,7548 ,14392 ,14036 ,15013 ,18077 ,16247 ,8200 ,3822 ,695 ,23 
경기도 성남시 분당구 (4113500000),484183 ,484183 ,38596 ,53122 ,63993 ,69547 ,85230 ,78519 ,53429 ,25606 ,13564 ,2506 ,71 ,234842 ,234842 ,19780 ,27167 ,32235 ,33698 ,39634 ,38601 ,26047 ,11625 ,5334 ,703 ,18 ,249341 ,249341 ,18816 ,25955 ,31758 ,35849 ,45596 ,39918 ,27382 ,13981 ,8230 ,1803 ,53 
경기도 의정부시 (4115000000),463661 ,463661 ,32996 ,41616 ,64284 ,60071 ,73614 ,81152 ,61579 ,31279 ,15055 ,1960 ,55 ,228538 ,228538 ,17090 ,21464 ,32580 ,30734 ,37060 ,39952 ,29805 ,13771 ,5615 ,459 ,8 ,235123 ,235123 ,15906 ,20152 ,31704 ,29337 ,36554 ,41200 ,31774 ,17508 ,9440 ,1501 ,47 
경기도 안양시 (4117000000),547178 ,547178 ,37820 ,50835 ,74873 ,77334 ,85661 ,96054 ,75518 ,32006 ,14747 ,2271 ,59 ,270496 ,270496 ,19253 ,26360 ,38745 ,39831 ,42175 ,46687 ,37011 ,14725 ,5178 ,523 ,8 ,276682 ,276682 ,18567 ,24475 ,36128 ,37503 ,43486 ,49367 ,38507 ,17281 ,9569 ,1748 ,51 
경기도 안양시 만안구 (4117100000),238311 ,238311 ,14791 ,18126 ,33537 ,33149 ,34205 ,42745 ,36733 ,16598 ,7369 ,1031 ,27 ,119239 ,119239 ,7485 ,9455 ,17498 ,17519 ,17625 ,20957 ,18052 ,7729 ,2687 ,230 ,2 ,119072 ,119072 ,7306 ,8671 ,16039 ,15630 ,16580 ,21788 ,18681 ,8869 ,4682 ,801 ,25 
경기도 안양시 동안구 (4117300000),308867 ,308867 ,23029 ,32709 ,41336 ,44185 ,51456 ,53309 ,38785 ,15408 ,7378 ,1240 ,32 ,151257 ,151257 ,11768 ,16905 ,21247 ,22312 ,24550 ,25730 ,18959 ,6996 ,2491 ,293 ,6 ,157610 ,157610 ,11261 ,15804 ,20089 ,21873 ,26906 ,27579 ,19826 ,8412 ,4887 ,947 ,26 
경기도 부천시 (4119000000),806067 ,806067 ,53029 ,67956 ,112129 ,112466 ,125249 ,144782 ,118614 ,47504 ,20979 ,3236 ,123 ,399484 ,399484 ,27336 ,34805 ,57852 ,57906 ,63207 ,70156 ,58182 ,22149 ,7119 ,745 ,27 ,406583 ,406583 ,25693 ,33151 ,54277 ,54560 ,62042 ,74626 ,60432 ,25355 ,13860 ,2491 ,96 
경기도 광명시 (4121000000),292893 ,292893 ,21820 ,29533 ,36783 ,39974 ,49814 ,48957 ,39425 ,17625 ,7816 ,1113 ,33 ,144384 ,144384 ,11124 ,15223 ,19149 ,20343 ,24549 ,24371 ,18745 ,7986 ,2656 ,229 ,9 ,148509 ,148509 ,10696 ,14310 ,17634 ,19631 ,25265 ,24586 ,20680 ,9639 ,5160 ,884 ,24 
